specimen.ID,digitizer,species.det,provisional.species,caste,ITS,body.length,scale,name,description,value
,,,,,,,,m13,Galea length,795.61109
,,,,,,,,m14,Galea width,144.58907
,,,,,,,,m15,"Stipes width, across from palp",135.09256
OW220714-008,DRA,griseocollis,griseocollis,W,3.277895161,13.86353277,316.63228,m01,Mentum length,833.52025
,,,,,,,325.94751,m02,Mentum width,191.01832
,,,,,ITS pixels,BL pixels,322.99983,m03,Glossa length,1286.93865
,,,,,687.90697,2928.41912,329.51699,m04,"Glossa width, at mid-point",59.75134
,,,,,,,,m05,Flabellum length,23.82342
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,558.91681
,,,,,198.64541,196.1632,,m07,Labial palpomere 1 width,100.89599
,,,,,218.22924,220.445,,m08,Labial palpomere 2 length,170.94151
,,,,,218.33003,216.08332,,m09,Labial palpomere 2 width,55.97321
,,,,,204.24495,212.23572,,m10,Distal labial palpomeres length,NA
,,,,,,,,m11,Stipes length,631.28793
,,,,,,,,m12,Maxillary palp length,75.47185
,,,,,,,,m13,Galea length,739.72127
,,,,,,,,m14,Galea width,160.98585
,,,,,,,,m15,"Stipes width, across from palp",148.294
OW220720-001,DRA,terricola,terricola,W,5.012134968,19.4815829,236.54175,m01,Mentum length,740.59976
,,,,,,,258.93629,m02,Mentum width,266.60833
,,,,,ITS pixels,BL pixels,250.51148,m03,Glossa length,1314.02435
,,,,,836.1531,3320.85848,,m04,"Glossa width, at mid-point",79.24645
,,,,,,,,m05,Flabellum length,27.07192
,,,,,ITS px/mm,BL px/mm,,m06,Labial palpomere 1 length,608.27625
