specimen_id,species,caste,investigator,LM,scale,measurement,scale1,body,scale2,its,notes
,,,,4,,66.611,,,,,
,,,,5,,35.228,,,,,
,,,,6,,537.24,,,,,
,,,,7,,105.948,,,,,
,,,,8,,235.287,,,,,
,,,,9,,61.465,,,,,
,,,,10,,80.24,,,,,
,,,,11,,600.101,,,,,
,,,,12,,81.019,,,,,
,,,,13,,903.65,,,,,
,,,,14,,201.586,,,,,
,,,,15,,134.373,,,,,
JL190619-007,tern,W,JL,1,312.941,704.64,70.678,1228.243,71.118,292.062,
,,,,2,,211.284,,,,,
,,,,3,,950.171,,,,,
,,,,4,,74.216,,,,,
,,,,5,,36,,,,,
,,,,6,,592.612,,,,,
,,,,7,,116.842,,,,,
,,,,8,,228.54,,,,,
,,,,9,,68.25,,,,,
,,,,10,,86.006,,,,,
,,,,11,,617.279,,,,,
,,,,12,,81.193,,,,,
,,,,13,,886.083,,,,,
,,,,14,,207.473,,,,,
,,,,15,,119.004,,,,,
JL190619-002,tern,W,JL,1,312.577,676.145,71.697,1252.535,70.39,283.132,
,,,,2,,192.585,,,,,
,,,,3,,851.856,,,,,
,,,,4,,72.125,,,,,
,,,,5,,37.363,,,,,
,,,,6,,531.292,,,,,
,,,,7,,117.388,,,,,
,,,,8,,220.274,,,,,
,,,,9,,62.514,,,,,
,,,,10,,84.889,,,,,
,,,,11,,599.921,,,,,
,,,,12,,82.416,,,,,
,,,,13,,839.624,,,,,
,,,,14,,209.659,,,,,
,,,,15,,175.824,,,,,
JL190619-001,tern,W,JL,1,316.574,694.855,70.214,1245.53,70.01,298.429,
,,,,2,,206.642,,,,,
,,,,3,,941.518,,,,,
,,,,4,,70.029,,,,,
,,,,5,,31.575,,,,,
,,,,6,,546.078,,,,,
,,,,7,,117.324,,,,,
,,,,8,,239.731,,,,,
,,,,9,,71.169,,,,,
,,,,10,,90.618,,,,,
,,,,11,,635.059,,,,,
,,,,12,,98.316,,,,,
,,,,13,,932.065,,,,,
,,,,14,,215,,,,,
,,,,15,,141.287,,,,,
FJ190827-019,tern,W,JL,1,307.551,696.382,139.561,2556.215,137.975,586.299,
,,,,2,,232.723,,,,,
,,,,3,,953.996,,,,,
,,,,4,,67.446,,,,,
,,,,5,,24.515,,,,,
,,,,6,,626.209,,,,,
,,,,7,,99.081,,,,,
,,,,8,,214.923,,,,,
,,,,9,,60.531,,,,,
,,,,10,,90.227,,,,,
,,,,11,,627.214,,,,,
,,,,12,,101.688,,,,,
,,,,13,,986.221,,,,,
,,,,14,,219.538,,,,,
,,,,15,,144.544,,,,,
FJ190827-018,tern,W,JL,1,315.608,746.619,139.818,2553.3,139.512,628.001,
,,,,2,,220.127,,,,,
,,,,3,,973.84,,,,,
,,,,4,,70.228,,,,,
,,,,5,,35.468,,,,,
,,,,6,,637.755,,,,,
,,,,7,,107.564,,,,,
,,,,8,,225.219,,,,,
,,,,9,,59.54,,,,,
,,,,10,,77.776,,,,,
,,,,11,,674.585,,,,,
,,,,12,,63.348,,,,,
,,,,13,,969.589,,,,,
,,,,14,,206.497,,,,,
,,,,15,,163.478,,,,,
FJ190809-014,tern,W,JL,1,321.362,664.012,141.839,1966.261,138.087,527.496,
,,,,2,,220.554,,,,,
,,,,3,,897.89,,,,,
,,,,4,,66.573,,,,,
,,,,5,,26.833,,,,,
,,,,6,,588.725,,,,,
,,,,7,,99.93,,,,,
,,,,8,,209.14,,,,,
,,,,9,,62.394,,,,,
,,,,10,,90.698,,,,,
,,,,11,,594.584,,,,,
,,,,12,,97.818,,,,,
,,,,13,,894.609,,,,,
,,,,14,,198.285,,,,,
,,,,15,,144.941,,,,,
